5,5,3,3,1,0.3333333333,1,,,180,1620,,43,430
5,3,3,1,1,0.1111111111,,,missing,,,5,,
4,2,2,4,4,-0.8888888889,24,1,0,24,6,5,,
4,2,2,2,4,0.1111111111,44,2,0,44,11,5,,
,,,,,0.3333333333,44,3,0,44,11,5,,
,,,,,0,44,4,0,44,11,5,,
4,2,2,4,4,0.6666666667,24,5,0,24,6,5,,
4,2,2,2,4,0.2222222222,,,,,,4,,
5,3,3,1,1,-0.7777777778,2,,22,G2,,4,,
5,3,3,3,1,0.2222222222,,,23,G1,,5,,
,,,,,-0.3333333333,,,,,,,,
,,,,,,,,45,45,,5,6,
5,3,3,3,1,0,3,,,,,4,2,
5,5,3,3,1,0.3333333333,,,,,,5,1,
4,2,2,4,4,-0.6666666667,,,,,,,,
4,2,2,2,4,0.3333333333,,,45,,,,,
,,,,,0,,,,,,,,
,,,,,,,,,,,,,
4,2,2,4,4,0.3333333333,4,,,,,,,
4,2,2,2,4,0.4444444444,,,,,,,,
5,3,3,1,1,-0.5555555556,,,,,,,,
5,3,3,3,1,0.4444444444,,,,,,,,
,,,,,-0.6666666667,,,,,,,,
,,,,,,,,,,,,,
5,3,3,3,1,-0.3333333333,5,,,,,,,
5,5,3,3,1,0.5555555556,,,,,,,,
4,2,2,4,4,-0.4444444444,,,,,,,,
4,2,2,2,4,0.5555555556,,,,,,,,
,,,,,-0.3333333333,,,,,,,,
,,,,,,,,,,,,,
4,2,2,4,4,0,6,,,,,,,
4,2,2,2,4,0.6666666667,,,,,,,,
5,5,3,3,1,-1.333333333,,,,,,,,
5,3,3,1,1,0.6666666667,,,,,,,,
,,,,,0,,,,,,,,
,,,,,,,,,,,,,
5,3,3,1,1,0.3333333333,7,,,,,,,
5,3,3,3,1,0.7777777778,,,,,,,,
4,2,2,4,4,-1.222222222,,,,,,,,
4,2,2,2,4,0.7777777778,,,,,,,,
,,,,,-0.6666666667,,,,,,,,
,,,,,,8,,,,,,,
4,2,2,4,4,0.6666666667,,,,,,,,
4,2,2,2,4,0.8888888889,,,,,,,,
5,3,3,1,1,-1.111111111,,,,,,,,
5,3,3,3,1,0.8888888889,,,,,,,,
,,,,,-1.333333333,9,,,,,,,
,,,,,,,,,,,,,
5,3,3,3,1,0,,,,,,,,
5,5,3,3,1,0,,,,,,,,
5,3,,,,0,,,,,,,,
4,2,,,4,0,,,,,,,,
4,2,2,2,4,0,,,,,,,,